Stand_GNN_PAG,ClimateScenario,Year,TEMFM1,TreatmentAssignment
66_93776_MCD,NONE,2095,9,trtInBoth
0_24236_MHD,NONE,2095,9,trtInBoth
0_24237_MHD,NONE,2095,9,trtInBoth
214_9057_MCW,NONE,2095,13,trtInBoth
286_24588_MHD,NONE,2095,5,trtInBoth
14_132547_MCW,NONE,2095,12,trtInBoth
105_13575_LPD,NONE,2095,5,trtInBoth
72_14346_MHD,NONE,2095,9,trtInBoth
112_140908_MCD,NONE,2095,13,trtInBoth
233_14525_MHD,NONE,2095,5,trtInBoth
287_25172_MCW,NONE,2095,13,trtInBoth
123_149299_MHD,NONE,2095,5,trtInBoth
100_11891_MCW,NONE,2095,9,trtInBoth
1_149512_MHD,NONE,2095,9,trtInBoth
166_23577_MCD,NONE,2095,13,trtInBoth
141_25119_MHD,NONE,2095,5,trtInBoth
276_29452_MCD,NONE,2095,5,trtInBoth
297_84334_MCD,NONE,2095,9,trtInBoth
242_145350_MCD,NONE,2095,12,trtInBoth
84_80730_MHD,NONE,2095,5,trtInBoth
72_135336_MHD,NONE,2095,12,trtInBoth
291_140973_MCD,NONE,2095,12,trtInBoth
125_84053_MHD,NONE,2095,13,trtInBoth
21_149639_MHD,NONE,2095,9,trtInBoth
19_133151_MHD,NONE,2095,9,trtInBoth
250_145614_MHD,NONE,2095,13,trtInBoth
129_78642_MHD,NONE,2095,13,trtInBoth
224_11892_MHD,NONE,2095,9,trtInBoth
148_14528_LPD,NONE,2095,5,trtInBoth
64_21178_MCW,NONE,2095,13,trtInBoth
52_85910_MCD,NONE,2095,9,trtInBoth
161_78788_MHD,NONE,2095,9,trtInBoth
64_21177_MCW,NONE,2095,13,trtInBoth
122_84334_MCW,NONE,2095,13,trtInBoth
82_29023_MHD,NONE,2095,9,trtInBoth
81_137492_MHD,NONE,2095,5,trtInBoth
284_13091_MCW,NONE,2095,9,trtInBoth
62_8277_MHD,NONE,2095,13,trtInBoth
64_141226_MCW,NONE,2095,13,trtInBoth
2_80665_MCD,NONE,2095,13,trtInBoth
92_8994_MHD,NONE,2095,9,trtInBoth
160_94192_MHD,NONE,2095,13,trtInBoth
9_23697_MCD,NONE,2095,13,trtInBoth
137_133151_MCW,NONE,2095,9,trtInBoth
285_14447_MHD,NONE,2095,13,trtInBoth
86_24981_MHD,NONE,2095,13,trtInBoth
302_14408_MCW,NONE,2095,13,trtInBoth
39_130881_MCW,NONE,2095,5,trtInBoth
1_94203_MHD,NONE,2095,9,trtInBoth
241_2331_MCW,NONE,2095,5,trtInBoth
69_141180_MCW,NONE,2095,5,trtInBoth
109_78788_MHD,NONE,2095,9,trtInBoth
166_137256_MCD,NONE,2095,5,trtInBoth
221_2331_MCD,NONE,2095,5,trtInBoth
95_14600_MCD,NONE,2095,9,trtInBoth
58_93760_MHD,NONE,2095,12,trtInBoth
212_85910_MCW,NONE,2095,9,trtInBoth
145_2932_MCW,NONE,2095,9,trtInBoth
121_9024_MCW,NONE,2095,13,trtInBoth
112_23628_MCD,NONE,2095,5,trtInBoth
101_2854_MCW,NONE,2095,12,trtInBoth
35_13239_MCD,NONE,2095,5,trtInBoth
297_14452_MCD,NONE,2095,12,trtInBoth
22_82714_MHD,NONE,2095,13,trtInBoth
244_137526_MCW,NONE,2095,8,trtInBoth
6_20760_MCW,NONE,2095,9,trtInBoth
68_93760_MCW,NONE,2095,12,trtInBoth
