stand,climateScenario,none,first,second,both
55.0,NONE,-55.58660172486079,-51.5214448419616,-52.31680162339841,-61.50759109777919
55.0,Ensemble_rcp45,-73.34956984361601,-60.88898026777281,-41.00506073185281,-22.535108807375995
55.0,Ensemble_rcp85,-77.59147267794562,-62.302947879216,-43.03763917330241,-34.111968626067195
56.0,NONE,-35.61568981162083,-32.33649586477083,-34.88698004565417,-42.629521309050006
56.0,Ensemble_rcp45,-58.38786999807916,-50.554240013937495,-18.126655428420833,-32.70085074775417
56.0,Ensemble_rcp85,-59.0254910433,-53.104724194820825,-31.607786098804166,-16.6692358964875
57.0,NONE,-300.05497461155295,-206.31020058416811,-232.30062550571841,-285.984296291955
57.0,Ensemble_rcp45,-304.71532666645163,-182.20184091555768,-248.25336907825618,-251.39014449982255
57.0,Ensemble_rcp85,-299.51724168214156,-192.2395222645702,-211.95639634298766,-227.28178483121215
58.0,NONE,-185.53081856783854,-152.3970908722683,-164.85609474689687,-179.21103399375147
58.0,Ensemble_rcp45,-182.100078370477,-150.77200341036027,-170.0924876797118,-180.56527354534154
58.0,Ensemble_rcp85,-184.3571442897938,-142.37571819050189,-164.40468156303356,-180.83612145565957
59.0,NONE,-183.12863061214708,-145.37292371316866,-142.14440720874296,-193.441947223507
59.0,Ensemble_rcp45,-133.3556678355841,-107.61721681419024,-165.3717898378057,-151.4712326659728
59.0,Ensemble_rcp85,-134.70088304576146,-147.8839921054998,-194.06971432158977,-177.6580887574257
60.0,NONE,-118.71689797320683,-83.04778446987606,-83.94851965935413,-105.83638476367074
60.0,Ensemble_rcp45,-103.7646938278712,-19.996321206412684,-83.49815206461511,-56.11580230448245
60.0,Ensemble_rcp85,-103.22425271418439,-62.961389744515614,-73.8602855372,-47.198523928649756
61.0,NONE,-365.31033171506243,-291.6238032665541,-249.6956333261196,-349.5203613332392
61.0,Ensemble_rcp45,-451.30768452905994,-438.907651291357,-443.36809490204143,-284.04104912839045
61.0,Ensemble_rcp85,-282.79212491739884,-281.36478296197976,-122.03773718832858,-51.02747490623096
62.0,NONE,-179.9813755803381,-127.68217826741417,-122.09157441672234,-190.08053092352344
62.0,Ensemble_rcp45,-177.99761292364096,-165.64418183420892,-179.62069146093862,-166.81640522225726
62.0,Ensemble_rcp85,-170.9642725953512,-158.61084150591915,-174.84162687889557,-240.5763076394499
63.0,NONE,-58.83388120895754,-52.40741110767142,-43.62758575802699,-67.0706245782116
63.0,Ensemble_rcp45,-60.734668140323876,-60.734668140323876,-53.855629722045755,-12.490885548978682
63.0,Ensemble_rcp85,-2.0818142581631127,-2.0818142581631127,13.75807683655623,-0.18102732679679245
64.0,NONE,-146.45168928771994,-125.10722997940562,-134.34453799939035,-165.64376614477573
64.0,Ensemble_rcp45,-175.3294871754394,-156.40645812479096,-97.48498852158703,-149.1421673517932
64.0,Ensemble_rcp85,-186.62949504454696,-150.30804117955827,-79.10005508375322,-82.95640697559155
65.0,NONE,-46.3509585358758,-39.6025431168594,-43.59831540443489,-56.2071968452287
65.0,Ensemble_rcp45,-40.7568773332701,-24.4186084240725,-32.7653327581191,-12.3424966216221
65.0,Ensemble_rcp85,-41.200852031889596,10.300213007972399,-24.596198303520296,-11.632137103830901
66.0,NONE,-80.97279666904242,-38.33191150518973,-72.98324134360476,-32.496843009083555
66.0,Ensemble_rcp45,-30.252585895196574,-44.615831424073285,-14.901867236209592,-1.9749462602205479
66.0,Ensemble_rcp85,-17.95405691109589,-13.645083252432878,-6.463460487994521,-1.9749462602205479
67.0,NONE,-299.28590371421325,-254.36175881172176,-266.2403100483646,-318.4880730065309
67.0,Ensemble_rcp45,-310.3606432130382,-240.78627168412973,-252.93276016671206,-260.79225271426526
67.0,Ensemble_rcp85,-312.9507032571182,-270.88455564464596,-239.8931475309987,-264.900623818668
68.0,NONE,-41.273342849115515,-41.72392519462988,-43.52625457668732,-41.723925194629885
68.0,Ensemble_rcp45,-38.11926643051499,-33.343093568062756,-32.8925112225484,-16.761663253134255
68.0,Ensemble_rcp85,-23.250049028541063,-20.907020831866387,-17.392478536854362,-14.328518587356701
69.0,NONE,-196.83334969124635,-191.3733399910731,-204.65936359482805,-216.58038477353966
69.0,Ensemble_rcp45,-204.02236246314115,-135.59024088763618,-164.1642916518763,-141.68725171949632
69.0,Ensemble_rcp85,-213.3043789534357,-78.62413968249507,-140.5952497794617,-132.67823571421042
70.0,NONE,-69.01906092917905,-43.75950770252075,-45.98305992317729,-35.310009264025894
70.0,Ensemble_rcp45,-44.82681276843587,-51.497469430405516,-22.413406384217943,-18.233128209383644
70.0,Ensemble_rcp85,-44.737870679609614,-51.40852734157926,-21.701869673607852,-16.810054788163455
71.0,NONE,-42.06889364163595,-36.980647326448896,-37.25323195047677,-42.70492443103435
71.0,Ensemble_rcp45,-37.34409349181939,-29.98430864306667,-22.442800711628685,-34.79997033422586
71.0,Ensemble_rcp85,-45.15818604728524,-21.4433237568598,-23.987446914453333,-38.16184736390303
72.0,NONE,-153.05339517329998,-134.26673642893334,-143.52651135506667,-146.82085435763332
72.0,Ensemble_rcp45,-155.90255668903333,-137.4720431341333,-133.02022826579994,-119.57574736343332
72.0,Ensemble_rcp85,-153.94375814696664,-127.41094153169992,-131.5956475079333,-130.9723934263667
73.0,NONE,-258.5574997164397,-187.1104325372357,-220.18278564660304,-181.8080715767665
73.0,Ensemble_rcp45,-144.42193327922087,-165.7212476458514,-113.32673171443525,-110.36100439756268
73.0,Ensemble_rcp85,-195.10890924031648,-201.84919859684518,-96.61081411024418,-73.78370082280043
74.0,NONE,-135.694851105913,-125.0853325240446,-122.23235273732372,-170.64385349324408
74.0,Ensemble_rcp45,-71.94858399636777,-67.75826993462147,-69.27391544631693,-45.38020973252938
74.0,Ensemble_rcp85,-46.717544007554814,-45.7368322058695,-29.064731577219206,-29.59966528722938
75.0,NONE,-73.02608867007932,-68.48975429471508,-70.9802908145229,-97.66461066960669
75.0,Ensemble_rcp45,-89.30352378168044,-70.1797612188704,-33.35539981885475,-46.430716547845805
75.0,Ensemble_rcp85,-85.2119280705676,-68.8455452261162,-71.60292494447486,-97.30881973820559
76.0,NONE,-21.47042367864806,-53.44568984384496,-53.07709887940465,-77.95698897912558
76.0,Ensemble_rcp45,-53.90642854939536,-37.319835149581394,-39.89997190066356,-41.097892535094566
76.0,Ensemble_rcp85,-21.562571419758136,-6.081750913265115,-20.272503044217054,-49.944075681662014
77.0,NONE,-71.79736176822855,-55.22873982171427,-57.903881906828545,-62.391217017342846
77.0,Ensemble_rcp45,-67.65520628159999,-64.20341004274285,-58.42165134265715,-32.792064269142855
77.0,Ensemble_rcp85,-27.355485192942858,-22.868150082428578,-23.040739894371434,-19.41635384357143
78.0,NONE,-244.30876938205216,-193.30411147554182,-199.76824346716552,-235.18814479113107
78.0,Ensemble_rcp45,-268.128653022419,-269.54544907537763,-270.96224512833624,-224.1194256273918
78.0,Ensemble_rcp85,-232.00035367197407,-232.00035367197407,-221.46293302809434,-188.5224247968064
79.0,NONE,-66.58499584370287,-35.82562276373143,-33.65437289926285,-32.56874796702857
79.0,Ensemble_rcp45,-44.239215988547144,-56.00015275441857,-43.967809755488574,-0.4523437217642858
79.0,Ensemble_rcp85,-32.84015420008714,-55.004996566537145,-30.487966846912858,-2.53312484188
80.0,NONE,-229.51136881736824,-183.96423837121353,-193.19796462150606,-219.38978427377828
80.0,Ensemble_rcp45,-231.6422287212819,-231.6422287212819,-233.59551696653608,-249.31060875789933
80.0,Ensemble_rcp85,-171.3566506063909,-150.13683739658396,-135.04324641052878,-113.20193239541368
81.0,NONE,-180.94172957361286,-131.61848750017023,-122.72413237217238,-171.5083226196758
81.0,Ensemble_rcp45,-170.5200609387871,-109.96657249160981,-128.56386048651441,-148.23925213329755
81.0,Ensemble_rcp85,-155.06724192852823,-127.30607289265613,-145.36430906162147,-158.66092076812328
82.0,NONE,-86.42050674510645,-53.16798642295391,-57.40340229054516,-61.72893338936175
82.0,Ensemble_rcp45,-79.84209486565622,-38.929779889349305,-60.91789630833363,-54.79006058501014
82.0,Ensemble_rcp85,-79.84209486565622,-40.732084513856215,-57.13305659686912,-55.15052150991153
83.0,NONE,-44.12062207304477,-32.62252056309977,-31.642062294809882,-39.93139129035163
83.0,Ensemble_rcp45,-45.36847805086826,-43.14016380475489,-40.020523860196164,-38.416137602994525
83.0,Ensemble_rcp85,0.2673977095336042,-0.8021931286008144,9.002389554298023,0.0
84.0,NONE,-106.9614477854143,-90.87701954700611,-71.93313739954759,-117.1482523364061
84.0,Ensemble_rcp45,-158.96776575626728,-153.5169317421401,-163.70373629313193,-90.34087193905918
84.0,Ensemble_rcp85,-52.72118144811565,-60.2272479593728,-12.688826721410885,-36.10060560176054
85.0,NONE,-112.54295112500003,-95.5264569149,-78.59999706570001,-112.99312292949999
85.0,Ensemble_rcp45,-147.56631751509997,-141.8941527784,-148.3766267632,-33.4027478939
85.0,Ensemble_rcp85,-46.81786766799999,-41.23573729219999,-4.5917524059,-43.84673375829999
86.0,NONE,-93.50206117877912,-92.07181932518404,-83.66914843531288,-170.64573115706446
86.0,Ensemble_rcp45,-122.6432389457791,-120.85543662878524,-122.6432389457791,-186.02083108321165
86.0,Ensemble_rcp85,-121.03421686048469,-120.40848604953683,-81.61317577076994,-103.78192450149388
87.0,NONE,-328.48778820017003,-211.74800562493184,-255.21112467602052,-195.6738355626491
87.0,Ensemble_rcp45,-683.1971275633936,-665.1473611806067,-685.3523235493979,-187.86125011338316
87.0,Ensemble_rcp85,30.891142466063005,33.405537783068134,31.25034179706374,-222.16478622395312
88.0,NONE,-22.77706082979757,-7.473723084777328,-8.897289386639677,-4.537617587186235
88.0,Ensemble_rcp45,-5.872210995182186,-6.139129676781376,-5.872210995182186,-4.270698905587044
88.0,Ensemble_rcp85,-5.071454950384615,-8.630370705040486,-5.071454950384615,-4.270698905587044
89.0,NONE,-54.555705328290266,-42.59950367355134,-47.29341987874514,-62.260813061344244
89.0,Ensemble_rcp45,-55.79560772211504,-21.52116297853009,-25.506563530109734,-53.93575413137788
89.0,Ensemble_rcp85,-60.57808838401061,-22.14111417544248,-27.012159294039822,-41.18247236632301
90.0,NONE,-109.94843604676188,-70.84353323443135,-69.93411688995855,-80.02863831360666
90.0,Ensemble_rcp45,-153.6004205814565,-146.1432065567795,-153.8732454847983,-39.741494253461504
90.0,Ensemble_rcp85,-26.91872379639498,-11.64052920925188,-4.001431915680334,-44.470459244720075
91.0,NONE,-270.9141504401066,-188.76424144294003,-183.2574893013717,-172.06343576769186
91.0,Ensemble_rcp45,-307.2948244245661,-306.2115289213068,-307.2948244245661,-200.04856960189147
91.0,Ensemble_rcp85,-272.53909369499576,-268.2059116819584,-72.85162259419066,-33.40161135049633
92.0,NONE,-216.35707482979362,-144.96104763032122,-144.9610476303212,-159.42100250616375
92.0,Ensemble_rcp45,-233.4378965268826,-225.93679493503927,-229.0095353461559,-92.90521007728817
92.0,Ensemble_rcp85,34.16164339417795,32.715647906593695,36.69213549745039,-17.984568876829133
93.0,NONE,-174.07075914257746,-183.721499382515,-196.23171821206367,-199.0911968016748
93.0,Ensemble_rcp45,16.442001890263985,16.442001890263985,16.442001890263985,-0.7148696474027821
93.0,Ensemble_rcp85,0.35743482370139107,0.35743482370139107,0.35743482370139107,-0.7148696474027821
94.0,NONE,-356.91990084364573,-109.12888996531251,-175.93882095067707,-99.22445275723958
94.0,Ensemble_rcp45,1.6207260885937502,3.601613530208333,-10.444679237604168,-2.431089132890625
94.0,Ensemble_rcp85,2.521129471145833,-2.341048794635416,3.601613530208333,-2.160968118125
95.0,NONE,-826.4806562886837,-422.87349203364397,-463.55680743590597,-317.75999210665424
